texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:174:23:174:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:174:26:174:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:174:65:174:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:174:66:174:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:175:20:175:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:175:23:175:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:175:26:175:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:175:55:175:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:175:56:175:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:176:20:176:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:176:23:176:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:176:26:176:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:176:56:176:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:176:57:176:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:177:20:177:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:177:23:177:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:177:26:177:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:177:57:177:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:177:58:177:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:178:20:178:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:178:23:178:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:178:26:178:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:178:45:178:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:178:46:178:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:184:27:184:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:184:59:184:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:184:60:184:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:185:27:185:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:185:50:185:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:189:1:189:98: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:189:87:189:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:189:99:189:99: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:192:1:192:85: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:192:74:192:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:192:86:192:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:207:56:207:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:233:41:233:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:233:44:233:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:243:24:243:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:244:27:244:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:246:35:246:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:248:32:248:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:249:27:249:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:249:60:249:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:252:32:252:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:253:1:253:102: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:253:27:253:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:253:60:253:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:256:34:256:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:259:38:259:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:261:31:261:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:264:31:264:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:267:37:267:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:275:7:275:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:275:38:275:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:276:7:276:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:276:38:276:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:1:284:109: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:31:284:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:54:284:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:84:284:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:87:284:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:90:284:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:284:110:284:110: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:1:285:109: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:31:285:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:54:285:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:84:285:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:87:285:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:90:285:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:285:110:285:110: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:303:26:303:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:307:32:307:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:307:35:307:35: s204 missing stylistic whitespaces
