texmf-dist/tex/fontinst/base/xfntinst.sty:84:26:84:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:85:10:85:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:85:36:85:36: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:86:5:86:9: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:86:5:86:9: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:86:10:86:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:87:5:87:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:87:5:87:12: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:87:13:87:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:88:5:88:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:88:5:88:10: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:88:11:88:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:89:5:89:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:89:5:89:18: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:89:19:89:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:90:5:90:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:90:5:90:15: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:90:16:90:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:91:5:91:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:91:5:91:15: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:91:16:91:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:92:5:92:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:92:5:92:17: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:92:18:92:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:93:5:93:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:93:5:93:17: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:93:18:93:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:94:5:94:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:94:5:94:17: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:94:18:94:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:95:5:95:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:95:5:95:18: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:95:19:95:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:96:5:96:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:96:5:96:13: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:96:14:96:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:97:5:97:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:97:5:97:19: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:97:20:97:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:105:9:105:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:105:9:105:18: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:105:19:105:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:106:9:106:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:106:22:106:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:107:9:107:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:107:25:107:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:107:26:107:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:107:27:107:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:108:9:108:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:108:26:108:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:108:27:108:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:108:28:108:28: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:110:5:110:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:110:5:110:15: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:110:16:110:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:110:21:110:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:111:5:111:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:111:5:111:11: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:111:12:111:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:112:10:112:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:118:5:118:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:118:5:118:12: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:118:13:118:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:119:10:119:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:125:5:125:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:125:5:125:13: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:125:14:125:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:126:7:126:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:128:18:128:35: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:141:20:141:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:144:17:144:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:150:22:150:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:156:33:156:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:157:42:157:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:168:12:168:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:168:12:168:19: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:168:20:168:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:170:33:170:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:172:22:172:35: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:172:36:172:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:174:53:174:61: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:181:5:181:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:181:5:181:13: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:181:14:181:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:182:22:182:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:182:31:182:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:182:40:182:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:182:40:182:52: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:182:53:182:53: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:182:57:182:57: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:183:5:183:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:183:5:183:14: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:183:15:183:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:184:22:184:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:184:50:184:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:184:51:184:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:185:23:185:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:185:32:185:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:186:5:186:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:186:5:186:13: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:186:14:186:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:186:33:186:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:186:42:186:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:186:46:186:46: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:187:6:187:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:187:6:187:15: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:187:16:187:16: s204 missing stylistic whitespaces
