texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:48:10:48:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:48:35:48:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:48:36:48:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:48:43:48:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:48:44:48:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:49:10:49:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:49:35:49:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:49:36:49:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:49:43:49:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:49:44:49:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:51:4:51:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:52:30:52:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:52:34:52:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:56:21:56:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:56:47:56:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:57:19:57:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:57:20:57:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:57:47:57:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:57:48:57:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:60:8:60:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:60:35:60:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:61:13:61:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:62:4:62:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:19:63:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:20:63:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:33:63:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:34:63:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:35:63:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:49:63:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:63:50:63:50: s204 missing stylistic whitespaces
