texmf-dist/tex/generic/scontents/scontents-code.tex:855:1:855:95: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:860:71:860:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:884:1:884:86: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:885:1:885:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:887:1:887:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:892:1:892:99: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:897:1:897:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:910:1:910:96: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:910:52:910:63: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:916:1:916:96: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:924:1:924:92: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:943:9:943:19: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:944:9:944:19: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:944:22:944:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:952:1:952:102: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:991:1:991:84: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:994:1:994:88: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1012:55:1012:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1014:43:1014:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1022:52:1022:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1022:75:1022:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1022:76:1022:76: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1024:1:1024:85: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1024:36:1024:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1024:84:1024:84: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1024:85:1024:85: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1034:30:1034:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1040:6:1040:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1040:31:1040:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1043:1:1043:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1043:22:1043:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1043:47:1043:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1049:6:1049:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1049:31:1049:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1052:1:1052:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1052:22:1052:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1052:47:1052:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1056:1:1056:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1056:33:1056:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1056:82:1056:82: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1058:18:1058:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1062:1:1062:86: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1062:36:1062:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1064:18:1064:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1068:1:1068:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1068:33:1068:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1068:82:1068:82: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1070:18:1070:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1074:1:1074:86: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:1074:36:1074:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1076:18:1076:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:1092:46:1092:46: s204 missing stylistic whitespaces
