texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:64:17:64:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:64:26:64:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:65:16:65:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:65:17:65:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:65:24:65:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:66:16:66:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:66:17:66:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:66:21:66:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:67:16:67:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:67:17:67:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:67:23:67:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:71:17:71:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:71:39:71:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:90:17:90:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:90:26:90:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:95:25:95:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:95:32:95:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:95:33:95:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:99:24:99:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:99:25:99:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:99:62:99:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:100:10:100:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:100:11:100:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:100:23:100:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:129:35:129:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:129:36:129:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:129:41:129:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:131:25:131:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:131:32:131:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:131:33:131:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:136:21:136:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:136:28:136:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:136:29:136:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:147:37:147:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:147:46:147:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:147:47:147:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:147:48:147:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:148:36:148:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:149:34:149:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:155:36:155:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:155:45:155:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:155:46:155:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:155:47:155:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:156:36:156:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:157:34:157:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:159:36:159:36: s204 missing stylistic whitespaces
