texmf-dist/tex/latex/endiagram/endiagram.sty:495:91:495:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:498:1:498:91: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:498:22:498:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:498:23:498:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:498:57:498:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:498:90:498:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:498:91:498:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:506:1:506:82: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:510:24:510:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:510:69:510:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:514:1:514:86: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:524:1:524:89: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:529:56:529:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:534:26:534:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:534:70:534:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:535:18:535:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:535:49:535:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:536:28:536:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:536:72:536:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:550:27:550:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:550:71:550:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:551:1:551:121: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:551:27:551:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:551:71:551:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:551:72:551:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:551:121:551:121: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:553:1:553:131: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:553:26:553:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:553:70:553:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:553:97:553:126: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:554:1:554:133: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:554:28:554:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:554:72:554:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:554:99:554:128: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:561:27:561:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:561:71:561:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:562:1:562:121: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:562:27:562:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:562:71:562:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:562:72:562:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:562:121:562:121: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:564:1:564:89: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:564:26:564:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:564:70:564:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:565:1:565:91: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:565:28:565:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:565:72:565:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:575:14:575:53: w415 unused variable or constant
texmf-dist/tex/latex/endiagram/endiagram.sty:590:50:590:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:590:59:590:59: s204 missing stylistic whitespaces
