texmf-dist/tex/latex/spreadtab/spreadtab.sty:51:64:51:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:51:115:51:115: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:51:119:51:119: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:5:52:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:21:52:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:28:52:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:40:52:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:41:52:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:53:52:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:57:52:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:61:52:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:62:52:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:52:66:52:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:53:5:53:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:53:20:53:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:53:73:53:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:54:1:54:83: s103 line too long
texmf-dist/tex/latex/spreadtab/spreadtab.sty:54:5:54:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:54:21:54:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:54:38:54:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:54:83:54:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:55:5:55:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:55:21:55:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:55:26:55:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:55:42:55:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:55:58:55:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:55:59:55:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:56:10:56:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:56:17:56:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:56:26:56:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:56:43:56:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:56:58:56:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:57:1:57:98: s103 line too long
texmf-dist/tex/latex/spreadtab/spreadtab.sty:57:10:57:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:57:21:57:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:57:66:57:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:57:83:57:97: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:57:98:57:98: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:58:5:58:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:58:14:58:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:58:25:58:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:58:42:58:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:58:57:58:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:59:5:59:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:59:11:59:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:59:19:59:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:59:36:59:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:59:51:59:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:60:5:60:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:60:17:60:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:60:41:60:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:60:58:60:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:60:73:60:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:61:10:61:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:61:24:61:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:61:25:61:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:61:36:61:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:62:10:62:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:62:20:62:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:62:21:62:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:62:28:62:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:63:5:63:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:63:14:63:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:63:15:63:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:63:24:63:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:63:25:63:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:64:5:64:16: s204 missing stylistic whitespaces
