texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:61:18:61:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:62:13:62:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:62:15:62:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:66:5:66:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:66:15:66:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:66:20:66:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:66:25:66:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:66:26:66:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:67:9:67:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:67:41:67:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:67:42:67:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:70:7:70:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:72:8:72:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:73:4:73:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:74:1:74:100: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:74:33:74:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:74:34:74:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:74:90:74:90: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:75:16:75:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:75:17:75:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:75:31:75:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:76:25:76:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:76:27:76:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:77:7:77:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:77:25:77:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:77:29:77:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:78:7:78:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:80:15:80:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:10:81:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:29:81:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:42:81:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:56:81:73: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:74:81:78: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:79:81:79: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:81:80:81:80: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:82:10:82:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:82:28:82:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:82:41:82:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:82:51:82:68: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:82:69:82:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:82:70:82:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:1:83:137: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:21:83:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:31:83:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:35:83:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:47:83:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:57:83:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:122:83:133: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:134:83:134: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:137:83:137: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:83:138:83:138: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:1:84:184: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:21:84:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:31:84:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:35:84:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:47:84:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:57:84:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:122:84:133: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:134:84:134: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:142:84:160: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:161:84:161: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:168:84:179: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:184:84:184: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:84:185:84:185: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:85:1:85:118: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:85:10:85:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:85:26:85:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:85:34:85:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:85:119:85:119: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:86:1:86:118: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:86:10:86:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:86:26:86:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:86:34:86:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:86:119:86:119: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:87:11:87:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:22:88:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:44:88:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:45:88:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:60:88:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:61:88:78: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:79:88:79: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:88:80:88:80: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:90:10:90:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:90:32:90:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:92:21:92:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:92:35:92:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:92:59:92:63: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:93:11:93:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:93:29:93:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:93:42:93:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:93:52:93:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:93:70:93:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:93:71:93:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:18:94:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:36:94:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:37:94:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:38:94:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:52:94:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:53:94:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:94:54:94:54: s204 missing stylistic whitespaces
