texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:218:32:218:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:220:39:220:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:229:31:229:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:231:43:231:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:240:33:240:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:240:36:240:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:240:39:240:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:240:43:240:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:242:49:242:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:251:59:251:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:252:47:252:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:254:41:254:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:255:40:255:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:256:42:256:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:257:44:257:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:258:42:258:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:259:42:259:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:259:50:259:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:294:31:294:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:294:35:294:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:294:38:294:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:335:1:335:89: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:336:1:336:95: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:338:12:338:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:342:48:342:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:347:66:347:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:353:1:353:98: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:354:1:354:100: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:357:31:357:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:359:59:359:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:384:11:384:32: w415 unused variable or constant
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:385:12:385:35: w415 unused variable or constant
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:386:12:386:36: w415 unused variable or constant
