texmf-dist/tex/latex/mathtools/mathtools.sty:94:16:94:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:94:35:94:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:94:36:94:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:95:24:95:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:95:34:95:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:97:16:97:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:97:27:97:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:97:28:97:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:102:16:102:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:102:30:102:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:102:31:102:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:107:20:107:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:107:29:107:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:108:22:108:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:108:31:108:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:109:16:109:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:109:25:109:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:109:26:109:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:110:24:110:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:110:33:110:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:112:20:112:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:112:38:112:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:113:22:113:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:113:40:113:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:114:16:114:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:114:34:114:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:114:35:114:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:115:24:115:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:115:42:115:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:117:16:117:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:118:40:118:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:118:41:118:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:118:48:118:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:120:17:120:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:120:42:120:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:123:17:123:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:123:24:123:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:123:25:123:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:124:19:124:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:124:31:124:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:124:32:124:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:125:19:125:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:125:28:125:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:125:29:125:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:125:30:125:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:126:40:126:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:127:2:127:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:130:5:130:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:130:26:130:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:131:17:131:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:131:26:131:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:132:6:132:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:132:56:132:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:133:6:133:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:133:50:133:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:135:5:135:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:136:13:136:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:136:28:136:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:136:29:136:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:137:41:137:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:137:65:137:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:139:31:139:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:139:32:139:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:140:17:140:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:140:32:140:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:142:6:142:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:142:33:142:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:143:6:143:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:143:34:143:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:143:35:143:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:144:4:144:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:144:19:144:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:144:28:144:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:145:4:145:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:147:10:147:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:148:4:148:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:148:48:148:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:148:49:148:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:13:150:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:20:150:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:21:150:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:22:150:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:23:150:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:24:150:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:25:150:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:150:26:150:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:151:33:151:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:151:34:151:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:152:17:152:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:152:32:152:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:153:18:153:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:153:27:153:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:154:4:154:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:155:73:155:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:156:4:156:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:156:48:156:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:156:49:156:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:158:6:158:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:158:33:158:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:159:6:159:28: s204 missing stylistic whitespaces
