texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:50:52:50:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:52:18:52:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:52:22:52:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:52:23:52:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:52:30:52:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:52:31:52:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:53:21:53:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:53:25:53:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:54:39:54:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:54:40:54:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:54:69:54:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:54:72:54:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:55:6:55:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:57:10:57:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:57:39:57:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:58:10:58:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:58:37:58:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:60:4:60:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:61:37:61:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:61:37:61:38: w302 unbraced n-type function call argument
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:65:21:65:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:65:47:65:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:66:19:66:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:66:20:66:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:66:47:66:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:66:48:66:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:69:8:69:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:69:35:69:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:70:13:70:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:71:4:71:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:19:72:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:20:72:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:33:72:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:34:72:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:35:72:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:49:72:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:72:50:72:50: s204 missing stylistic whitespaces
