texmf-dist/tex/plain/xintsession/xintsession.tex:63:27:63:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:28:63:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:29:63:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:30:63:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:31:63:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:32:63:32: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:22:64:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:23:64:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:25:64:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:26:64:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:27:64:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:28:64:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:29:64:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:30:64:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:64:31:64:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:65:5:65:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:65:21:65:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:65:22:65:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:65:27:65:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:66:5:66:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:66:22:66:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:66:23:66:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:66:28:66:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:67:5:67:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:68:2:68:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:69:7:69:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:70:7:70:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:70:17:70:32: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:72:2:72:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:73:5:73:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:74:2:74:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:75:12:75:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:75:22:75:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:75:32:75:38: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:76:15:76:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:76:26:76:32: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:76:33:76:43: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:77:2:77:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:78:10:78:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:78:21:78:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:78:23:78:33: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:79:2:79:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:80:8:80:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:80:21:80:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:80:54:80:54: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:80:55:80:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:80:56:80:56: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:81:36:81:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:82:17:82:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:84:30:84:42: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:85:41:85:49: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:88:59:88:59: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:89:16:89:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:91:10:91:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:91:16:91:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:91:17:91:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:91:23:91:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:91:26:91:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:92:9:92:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:92:19:92:35: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:93:17:93:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:95:2:95:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:96:10:96:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:97:2:97:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:98:15:98:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:98:16:98:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:98:57:98:57: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:98:58:98:58: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:102:13:102:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:102:16:102:16: s204 missing stylistic whitespaces
