texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:17:62:17:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:43:18:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:48:18:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:49:18:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:50:18:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:65:18:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:66:18:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:67:18:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:18:72:18:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:19:1:19:87: s103 line too long
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:19:11:19:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:19:21:19:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:19:23:19:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:19:24:19:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:19:87:19:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:43:25:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:56:25:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:57:25:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:58:25:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:73:25:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:74:25:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:75:25:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:25:80:25:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:26:1:26:96: s103 line too long
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:26:28:26:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:26:29:26:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:26:58:26:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:26:59:26:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:26:94:26:94: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:27:1:27:177: s103 line too long
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:27:4:27:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:27:177:27:177: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:30:41:30:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:30:43:30:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:30:44:30:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:30:45:30:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:30:74:30:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:31:4:31:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:31:42:31:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:32:1:32:82: s103 line too long
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:32:41:32:41: s204 missing stylistic whitespaces
