texmf-dist/tex/latex/polyglossia/polyglossia.sty:222:38:222:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:236:48:236:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:236:56:236:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:238:20:238:20: w303 braced N-type function call argument
texmf-dist/tex/latex/polyglossia/polyglossia.sty:238:39:238:39: w303 braced N-type function call argument
texmf-dist/tex/latex/polyglossia/polyglossia.sty:260:19:260:19: w303 braced N-type function call argument
texmf-dist/tex/latex/polyglossia/polyglossia.sty:262:21:262:21: w303 braced N-type function call argument
texmf-dist/tex/latex/polyglossia/polyglossia.sty:290:17:290:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:1:316:86: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:16:316:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:16:316:16: w303 braced N-type function call argument
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:17:316:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:30:316:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:31:316:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:32:316:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:85:316:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:316:86:316:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:324:40:324:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:327:26:327:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:327:31:327:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:327:32:327:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:327:45:327:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:329:30:329:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:329:31:329:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:329:36:329:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:329:37:329:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:337:33:337:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:337:34:337:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:337:39:337:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:37:341:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:41:341:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:46:341:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:47:341:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:61:341:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:62:341:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:67:341:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:68:341:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:341:74:341:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:358:28:358:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:364:59:364:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:365:18:365:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:370:45:370:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:370:46:370:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:371:45:371:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:371:46:371:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:381:4:381:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:384:23:384:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:386:25:386:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:409:1:409:81: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:414:1:414:101: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:417:1:417:87: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:418:1:418:87: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:434:21:434:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:439:1:439:100: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:462:50:462:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:473:50:473:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:486:1:486:81: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:504:1:504:85: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:510:1:510:94: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:523:73:523:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:523:74:523:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:546:15:546:23: s204 missing stylistic whitespaces
