texmf-dist/tex/fontinst/base/finstmsc.sty:92:5:92:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:92:18:92:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:93:5:93:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:93:19:93:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:94:5:94:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:94:14:94:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:95:5:95:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:95:20:95:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:103:9:103:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:103:19:103:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:104:9:104:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:104:22:104:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:105:9:105:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:105:25:105:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:105:26:105:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:105:27:105:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:106:9:106:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:106:26:106:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:106:27:106:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:106:28:106:28: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:108:5:108:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:108:16:108:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:108:21:108:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:109:5:109:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:109:12:109:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:110:10:110:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:116:5:116:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:116:13:116:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:117:10:117:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:123:5:123:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:123:14:123:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:124:7:124:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:126:18:126:35: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:139:20:139:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:142:17:142:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:148:22:148:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:154:33:154:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:155:42:155:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:166:12:166:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:166:20:166:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:168:33:168:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:170:22:170:35: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:170:36:170:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:172:53:172:61: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:179:5:179:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:179:14:179:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:180:22:180:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:180:31:180:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:180:40:180:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:180:53:180:53: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:180:57:180:57: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:181:5:181:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:181:15:181:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:182:22:182:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:182:50:182:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:182:51:182:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:183:23:183:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:183:32:183:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:184:5:184:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:184:14:184:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:184:33:184:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:184:42:184:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:184:46:184:46: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:185:6:185:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:185:16:185:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:185:28:185:36: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:185:37:185:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:185:59:185:59: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:186:6:186:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:186:17:186:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:187:13:187:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:187:22:187:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:189:5:189:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:189:18:189:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:189:45:189:45: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:190:9:190:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:190:23:190:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:191:11:191:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:191:26:191:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:191:27:191:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:191:28:191:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:192:11:192:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:192:26:192:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:192:27:192:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:192:40:192:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:193:5:193:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:193:21:193:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:194:12:194:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:195:12:195:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:196:26:196:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:198:17:198:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:198:34:198:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:198:42:198:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:198:43:198:55: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:199:18:199:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:199:19:199:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:200:18:200:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:203:19:203:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:206:18:206:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:207:17:207:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:207:27:207:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:207:44:207:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:207:52:207:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:207:53:207:65: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:208:33:208:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:208:70:208:70: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:216:19:216:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:220:5:220:14: s204 missing stylistic whitespaces
