texmf-dist/tex/generic/xint/xintcore.sty:108:5:108:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:108:27:108:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:110:21:110:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:112:21:112:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:113:9:113:9: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:114:5:114:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:115:54:115:68: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:115:69:115:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:115:70:115:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:116:5:116:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:116:23:116:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:117:20:117:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:117:21:117:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:117:37:117:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:117:38:117:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:118:20:118:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:118:21:118:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:118:35:118:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:118:36:118:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:119:20:119:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:119:21:119:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:119:30:119:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:119:31:119:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:120:20:120:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:120:21:120:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:120:29:120:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:120:30:120:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:122:2:122:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:123:1:123:82: s103 line too long
texmf-dist/tex/generic/xint/xintcore.sty:123:5:123:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:123:36:123:49: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:123:83:123:83: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:125:5:125:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:125:18:125:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:125:26:125:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:126:5:126:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:126:27:126:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:126:38:126:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:126:42:126:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:126:43:126:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:127:5:127:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:127:27:127:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:127:38:127:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:127:42:127:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:127:43:127:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:128:5:128:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:128:25:128:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:128:36:128:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:128:55:128:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:128:56:128:56: s204 missing stylistic whitespaces
