texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:171:65:171:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:171:78:171:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:181:34:181:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:189:1:189:141: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:189:57:189:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:189:93:189:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:189:110:189:138: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:192:1:192:141: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:192:57:192:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:192:92:192:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:192:109:192:136: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:194:1:194:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:194:14:194:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:194:65:194:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:194:78:194:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:205:34:205:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:218:1:218:140: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:218:56:218:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:218:92:218:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:218:109:218:137: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:221:1:221:141: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:221:57:221:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:221:92:221:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:221:109:221:136: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:223:1:223:121: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:223:57:223:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:223:94:223:94: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:224:1:224:121: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:224:57:224:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:224:94:224:94: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:226:1:226:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:226:14:226:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:226:65:226:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:226:78:226:78: s204 missing stylistic whitespaces
