texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:91:37:91:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:92:23:92:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:93:8:93:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:93:16:93:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:98:14:98:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:98:19:98:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:98:20:98:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:98:21:98:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:98:31:98:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:100:12:100:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:100:22:100:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:100:47:100:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:100:51:100:51: s204 missing stylistic whitespaces
