texmf-dist/tex/latex/tuda-ci/tudapub.cls:119:48:119:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:119:63:119:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:119:64:119:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:119:74:119:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:119:75:119:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:120:1:120:84: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:120:52:120:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:120:71:120:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:120:72:120:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:120:82:120:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:120:83:120:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:121:50:121:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:121:67:121:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:121:68:121:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:121:78:121:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:121:79:121:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:1:143:91: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:45:143:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:52:143:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:55:143:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:73:143:73: s204 missing stylistic whitespaces
