texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:291:31:291:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:291:32:291:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:291:37:291:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:292:12:292:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:292:21:292:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:292:22:292:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:292:23:292:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:292:24:292:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:293:14:293:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:293:21:293:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:293:22:293:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:294:25:294:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:294:33:294:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:294:36:294:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:294:69:294:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:296:12:296:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:296:19:296:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:300:18:300:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:300:25:300:25: s204 missing stylistic whitespaces
