texmf-dist/tex/latex/circledtext/circledtext.sty:629:1:629:94: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:630:1:630:88: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:631:1:631:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:632:1:632:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:637:26:637:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:637:31:637:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:641:1:641:88: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:642:1:642:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:649:1:649:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:650:1:650:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:654:26:654:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:654:31:654:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:658:1:658:89: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:659:1:659:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:660:1:660:86: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:665:26:665:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:665:31:665:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:669:1:669:89: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:670:1:670:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:671:1:671:86: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:676:26:676:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:676:49:676:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:680:1:680:89: s103 line too long
