texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:105:96:105:96: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:105:101:105:101: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:125:15:125:31: s412 malformed function name
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:132:45:132:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:132:52:132:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:133:12:133:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:133:17:133:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:136:45:136:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:137:1:137:129: s103 line too long
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:137:36:137:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:137:83:137:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:137:86:137:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:137:129:137:129: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:138:22:138:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:138:65:138:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:139:21:139:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:139:65:139:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:143:25:143:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:143:72:143:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:144:25:144:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:144:69:144:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:145:14:145:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:145:37:145:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:155:35:155:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:155:73:155:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:156:30:156:31: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:164:21:164:37: s412 malformed function name
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:173:21:173:37: s412 malformed function name
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:179:36:179:37: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:186:21:186:37: s412 malformed function name
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:192:35:192:36: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:198:19:198:35: s412 malformed function name
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:203:37:203:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:203:75:203:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:210:19:210:35: s412 malformed function name
