texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:51:29:51:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:51:30:51:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:51:30:51:50: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:51:52:51:62: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:52:25:52:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:52:50:52:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:52:60:52:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:53:21:53:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:53:31:53:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:26:54:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:36:54:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:37:54:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:54:54:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:55:54:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:57:54:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:58:54:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:59:54:59: s204 missing stylistic whitespaces
